Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.114-63.245.209.21-4844-80-6,192.168.0.114,4844,63.245.209.21,80,6,16/12/2006 10:54:40 PM,104432,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.15121801746591,104432.0,0.0,104432.0,104432.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9.575609008732956,9.575609008732956,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16755,8190,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.114-192.168.0.193-1137-21-6,192.168.0.114,1137,192.168.0.193,21,6,16/12/2006 10:54:40 PM,2667464,14,13,122.0,501.0,26.0,0.0,8.714285714285715,7.4258236676383,104.0,0.0,38.53846153846154,27.975034657754474,233.5551670050655,10.121973529914555,102594.76923076922,485263.02725159744,2477497.0,19.0,2665097.0,205007.46153846153,684028.8866119636,2477497.0,1441.0,2665145.0,222095.4166666667,758575.5331520997,2630891.0,1461.0,0,0,0,0,288,268,5.248430719214955,4.873542810699601,0.0,104.0,22.249999999999996,24.808339398349574,615.4537037037037,0,2,0,23,26,0,0,0,0.0,23.074074074074073,8.714285714285714,38.53846153846154,0,0,0,311,11,17666,14,122,13,501,16384,65413,11,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.114-192.168.0.193-1140-7254-6,192.168.0.114,1140,192.168.0.193,7254,6,16/12/2006 10:54:43 PM,6635,3,5,0.0,5808.0,0.0,0.0,0.0,0.0,1452.0,0.0,1161.6,649.3541406659389,875357.9502637528,1205.7272042200452,947.8571428571428,1232.7551025475996,3410.0,13.0,4697.0,2348.5,1952.3218228560577,3729.0,968.0,5680.0,1420.0,1478.8245332019617,3423.0,300.0,0,0,0,0,68,108,452.14770158251696,753.5795026375282,0.0,1452.0,645.3333333333334,765.2711937607478,585640.0,0,2,0,1,7,0,0,0,1.0,726.0,0.0,1161.6,0,0,0,5808,4,2573327,0,0,0,0,32768,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
